,,,,,,,,
16255,2016-03-02,2016-09-02,,,,,,
16257,2016-03-02,2016-09-02,,,,,,
16259,2016-03-02,2016-09-02,,,,,,
16261,2016-03-03,2016-09-03,,,,,,
16264,2016-03-04,2016-09-04,,,,,,
16265,2016-03-04,2016-09-04,,,,,,
16266,2016-03-04,2017-03-04,,,,,,
16267,2016-03-04,2016-09-04,,,,,,
16268,2016-03-04,2016-09-04,,,,,,
16271,2016-03-04,2017-03-04,,,,,,
16273,2016-03-05,2016-09-05,,,,,,
16275,2016-03-05,2016-09-05,,,,,,
16276,2016-03-05,2016-09-05,,,,,,
16280,2016-03-09,2016-09-09,,,,,,
16281,2016-03-09,2016-09-09,,,,,,
16282,2016-03-10,2016-09-10,,,,,,
16284,2016-03-10,2016-09-10,,,,,,
16287,2016-03-11,2016-09-11,,,,,,
16288,2016-03-11,2016-09-11,,,,,,
16292,2016-03-14,2016-09-14,,,,,,
16293,2016-03-14,2016-09-14,,,,,,
16294,2016-03-14,2016-09-14,,,,,,
16296,2016-03-14,2016-09-14,,,,,,
16298,2016-03-15,2016-09-15,,,,,,
16299,2016-03-15,2016-09-15,,,,,,
16300,2016-03-17,2017-03-17,,,,,,
16301,2016-03-17,2016-03-17,,,,,,
16305,2016-03-18,2016-09-18,,,,,,
16306,2016-03-18,2016-09-18,,,,,,
16308,2016-03-19,2016-09-19,,,,,,
16313,2016-03-19,2016-09-19,,,,,,
16314,2016-03-21,2016-09-21,,,,,,
16315,2016-03-21,2016-09-21,,,,,,
16317,2016-03-21,2016-09-21,,,,,,
16320,2016-03-23,2016-09-23,,,,,,
16324,2016-03-24,2016-09-24,,,,,,
16326,2016-03-24,2016-09-24,,,,,,
16330,2016-03-28,2017-03-28,,,,,,
16331,2016-03-28,2017-03-28,,,,,,
16333,2016-03-28,2016-09-28,,,,,,
16335,2016-03-28,2016-09-28,,,,,,
16336,2016-03-28,2017-03-28,,,,,,
16339,2016-03-28,2017-03-28,,,,,,
16340,2016-03-28,2017-03-28,,,,,,
16341,2016-03-28,2016-09-28,,,,,,
16343,2016-03-29,2017-03-29,,,,,,
16345,2016-03-29,2016-09-29,,,,,,
16348,2016-03-29,2016-09-29,,,,,,
16349,2016-03-29,2016-09-29,,,,,,
16353,2016-03-29,2017-03-29,,,,,,
16354,2016-03-30,2016-09-30,,,,,,
16356,2016-03-30,2016-09-30,,,,,,
16357,2016-03-30,2016-09-30,,,,,,
16359,2016-03-30,2016-09-30,,,,,,
16361,2016-03-30,2016-09-30,,,,,,
16362,2016-03-31,2016-09-30,,,,,,
16364,2016-03-31,2016-09-30,,,,,,
16367,2016-04-02,2016-10-02,,,,,,
16371,2016-04-02,2016-10-02,,,,,,
16372,2016-04-02,2016-10-02,,,,,,
16373,2016-04-02,2016-10-02,,,,,,
16374,2016-04-02,2016-10-02,,,,,,
16375,2016-04-02,2016-10-02,,,,,,
16376,2016-04-02,2016-10-02,,,,,,
16378,2016-04-04,2016-10-04,,,,,,
16380,2016-04-04,2016-10-04,,,,,,
16383,2016-04-05,2016-10-05,,,,,,
16384,2016-04-07,2016-10-07,,,,,,
16385,2016-04-07,2016-10-07,,,,,,
16388,2016-04-07,2016-10-07,,,,,,
16389,2016-04-07,2016-10-07,,,,,,
16391,2016-04-09,2016-10-09,,,,,,
16392,2016-04-09,2016-10-09,,,,,,
16394,2016-04-09,2016-10-09,,,,,,
16396,2016-04-11,2017-04-11,,,,,,
16397,2016-04-11,2016-10-11,,,,,,
16400,2016-04-12,2016-10-12,,,,,,
16401,2016-04-12,2017-04-12,,,,,,
16402,2016-04-13,2016-10-12,,,,,,
16403,2016-04-13,2016-10-13,,,,,,
16404,2016-04-15,2017-04-15,,,,,,
16406,2016-04-15,2016-10-15,,,,,,
16408,2016-04-15,2016-10-15,,,,,,
16409,2016-04-15,2016-10-15,,,,,,
16410,2016-04-15,2016-10-15,,,,,,
16411,2016-04-15,2016-10-15,,,,,,
16412,2016-04-16,2016-10-16,,,,,,
16414,2016-04-16,2017-04-16,,,,,,
16415,2016-04-16,2016-10-16,,,,,,
16416,2016-04-18,2016-10-16,,,,,,
16419,2016-04-18,2016-10-16,,,,,,
16420,2016-04-18,2017-04-18,,,,,,
16421,2016-04-20,2017-04-20,,,,,,
16422,2016-04-21,2016-10-21,,,,,,
16424,2016-04-21,2016-10-21,,,,,,
16425,2016-04-21,2016-10-21,,,,,,
16427,2016-04-22,2016-10-22,,,,,,
16428,2016-04-23,2016-10-23,,,,,,
16430,2016-04-23,2016-10-23,,,,,,
16431,2016-04-23,2016-10-23,,,,,,
16432,2016-04-23,2016-10-23,,,,,,
16433,2016-04-25,2017-04-25,,,,,,
16435,2016-04-25,2016-10-25,,,,,,
16436,2016-04-25,2016-10-25,,,,,,
16440,2016-04-27,2017-04-27,,,,,,
16441,2016-04-27,2016-10-27,,,,,,
16442,2016-04-28,2016-10-28,,,,,,
16444,2016-04-28,2016-10-28,,,,,,
16446,2016-04-29,2016-10-29,,,,,,
16447,2016-04-29,2016-10-29,,,,,,
16449,2016-04-30,2016-10-30,,,,,,
16450,2016-04-30,2016-10-30,,,,,,
16451,2016-04-30,2016-10-30,,,,,,
16452,2016-04-30,2016-10-30,,,,,,
16453,2016-04-30,2016-10-30,,,,,,
16454,2016-04-30,2016-10-30,,,,,,
16455,2016-04-30,2016-10-30,,,,,,
16456,2016-04-30,2016-10-30,,,,,,
16457,2016-04-30,2016-10-30,,,,,,
16459,2016-05-02,2016-11-02,,,,,,
16460,2016-05-02,2016-11-02,,,,,,
16462,2016-05-02,2016-11-02,,,,,,
16464,2016-05-03,2016-11-03,,,,,,
16465,2016-05-03,2017-05-03,,,,,,
16466,2016-05-03,2016-11-03,,,,,,
16467,2016-05-03,2016-11-03,,,,,,
16468,2016-05-03,2016-11-03,,,,,,
16469,2016-05-04,2016-11-04,,,,,,
16470,2016-05-04,2016-11-04,,,,,,
16471,2016-05-04,2016-11-04,,,,,,
16472,2016-05-04,2016-11-04,,,,,,
16473,2016-05-04,2016-11-04,,,,,,
16474,2016-05-05,2016-11-05,,,,,,
16475,2016-05-06,2016-11-06,,,,,,
16476,2016-05-06,2016-11-06,,,,,,
16479,2016-05-07,2016-11-07,,,,,,
16481,2016-05-07,2016-11-07,,,,,,
16483,2016-05-10,2016-11-10,,,,,,
16485,2016-05-10,2016-11-10,,,,,,
16486,2016-05-10,2016-11-10,,,,,,
16489,2016-05-10,2016-11-10,,,,,,
16491,2016-05-10,2016-11-10,,,,,,
16492,2016-05-11,2016-11-11,,,,,,
16493,2016-05-11,2016-11-11,,,,,,
16495,2016-05-11,2016-11-11,,,,,,
16497,2016-05-12,2016-11-12,,,,,,
16498,2016-05-12,2016-11-12,,,,,,
16499,2016-05-12,2016-11-12,,,,,,
16500,2016-05-13,2016-11-13,,,,,,
16504,2016-05-14,2016-11-14,,,,,,
16507,2016-05-14,2016-11-14,,,,,,
16509,2016-05-16,2016-11-16,,,,,,
